primaryKey,AB_Updated
1169:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Ecological models have been developed and used in management of renewable natural resources conservation biology and assessments of ecological risks posed by toxic chemicals and other stressors. Because few models have been developed specifically for use in assessing chemical risks this study examines the realism and relevance of a wide range of ecological models from the perspective of assessing toxicological risks posed by chemicals. Model realism is evaluated relative to the degree of structural and functional description of the actual  real world) ecological entities or systems that is believed necessary for reliable estimation and management of risk. Relevance refers to the usefulness of model outputs in addressing the ecological impacts of interest in either generic or site specific assessment of risks posed by toxic chemicals. A model becomes increasingly relevant the more closely its outputs correspond to the endpoints of the risk analysis. In addition to the relatively few models  CASK IFEM AQUATOX) that have been designed specifically for ecological risk assessment we identify several models developed in support of basic research that might be adapted for realistic and relevant risk estimation. Population ecosystem and landscape models describe ecological phenomena from different perspectives. Associated with each perspective and resulting modeling approach are hypotheses concerning simplifying assumptions that facilitate the specification of model structure in relation to the ecological topic of interest. The structurally complex system models  AQUATOX CASM) attempt to explicitly represent the many biotic and abiotic processes and interactions that are believed to influence the production dynamics of aquatic populations included in the models. Future efforts in ecological risk assessment modeling should focus on identifying the necessary model complexity required to achieve sufficiently accurate and precise estimates of risk as defined by the needs of risk management and risk based decision making. Evaluations of model realism endpoint relevance flexibility ease of use and other characteristics may help to guide model users in their choice of specific models for further development and application to continuing challenges in assessing ecological risks. Clear definition of specific model capabilities and corresponding risk assessment endpoints can help to ensure that applications of existing ecological models to chemical risk assessments are appropriately customized to the needs of environmental risk assessors managers and decision makers. 
1170:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, The results of quantitative risk assessments are key factors in a risk managers decision of the necessity to implement actions to reduce risk. The extent of the uncertainty in the assessment will play a large part in the degree of confidence a risk manager has in the reported significance and probability of a given risk. The two main sources of uncertainty in such risk assessments are variability and incertitude. In this paper we use two methods a second order two dimensional Monte Carlo analysis and probability bounds analysis to investigate the impact of both types of uncertainty on the results of a food web exposure model. We demonstrate how the full. extent of uncertainty in a risk estimate can be fully portrayed in a way that is useful to risk managers. We show that probability bounds analysis is a useful tool for identifying the parameters that contribute the most to uncertainty in a risk estimate and how it can be used to complement established practices in risk assessment. We conclude by promoting the use of probability analysis in conjunction with Monte Carlo analyses as a method for checking how plausible Monte Carlo results are in the full context of uncertainty. 
1171:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, The selection of the most appropriate model for an ecological risk assessment depends on the application the data and resources available the knowledge base of the assessor the relevant endpoints and the extent to which the model deals with uncertainty. Since ecological systems are highly variable and our knowledge of model input parameters is uncertain it is important that models include treatments of uncertainty and variability and that results are reported in this light. In this paper we discuss treatments of variation and uncertainty in a variety of population models. In ecological risk assessments the risk relates to the probability of all adverse event in the context of environmental variation. Uncertainty relates to ignorance about parameter values measurement error and systematic error. An assessment of the full distribution of risks under variability and parameter uncertainty will give the most comprehensive and flexible endpoint. In this paper we present the rationale behind probabilistic risk assessment identify the sources of uncertainty relevant for risk assessment and provide an overview of a range of population models. While all of the models reviewed have some utility in ecology some have more comprehensive treatments of uncertainty than others. We identify the models that allow probabilistic assessments and sensitivity analyses and we offer recommendations for further developments that aim towards more comprehensive and reliable ecological risk assessments for populations. 
1196:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, While some researchers have exploited the similarity between cyber attacks and epidemics we believe there is also potential to leverage considerable experience gained in other biological domains: phylogenetics ecological niche modeling and biomonitoring. Here we describe some new ideas for threat detection from biomonitoring and approximate graph searching and matching for cross network aggregation. Generic anomaly aggregation systems using these methods could detect and model the inheritance and evolution of vulnerability and threats across multiple domains and time scales. 
119:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Toe clipping is a common method of marking anurans for population studies. We re analysed data from four published studies investigating the relationship between return rate and number of toes clipped for three anuran species: Bufo fowleri Crinia signifera and Hyla labialis. Although these studies claimed contradictory results a re analysis of the data with proper attention to statistical power demonstrated a statistically significant decline of 6 18 PeRcEnT in the probability of return for each toe removed after the first in three of the four studies examined. The probability that the fourth study would detect a statistically significant effect of toe clipping was low unless the size of the effect was overwhelming. These results provide consistent evidence that toe clipping decreases the return rate of marked anurans and demonstrates the importance of considering statistical power during data analysis. Use of toe clipping for mark recapture studies may produce estimates of population parameters that are biased by the same magnitude as the return rates unless researchers control for the effect of this marking method. 
1200:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, In this paper we compare four methods for the reliable propagation of uncertainty through calculations involving the binary operations of addition multiplication subtraction and division. The methods we investigate are: (i) dependency bounds convolution; (ii) Distribution Envelope Determination; (iii) interval probabilities; and (iv) Dempster Shafer belief functions. We show that although each of these methods were constructed for different types of applications they converge to equivalent methods when they are restricted to cumulative distribution functions on the positive reals. We also show that while some of the methods have been formally constructed to deal only with operations on random variables under an assumption of independence all of the methods can be extended to deal with unknown dependencies and perfect positive and negative dependence among variables. 
1205:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Spatial depictions of fire regimes are indispensable to fire management because they portray important characteristics of wildland fire such as severity intensity and pattern across a landscape that serves as important reference for future treatment activities. However spatially explicit fire regime maps are difficult and costly to create requiring extensive expertise in fire history sampling multivariate statistics remotely sensed image classification fire behaviour and effects fuel dynamics landscape ecology simulation modelling and geographical information systems (GIS). This paper first compares three common strategies for predicting fire regimes ( classification empirical and simulation) using a 51 000 ha landscape in the Selway BitterrootWilderness Area of Montana USA. Simulation modelling is identified as the best overall strategy with respect to developing temporally deep spatial fire patterns but it has limitations. To illustrate these problems we performed three simulation experiments using the LANDSUM spatial model to determine the relative importance of ( 1) simulation time span; ( 2) fire frequency parameters; and ( 3) fire size parameters on the simulation of landscape fire return interval. The model used to simulate fire regimes is also very important so we compared two spatially explicit landscape fire succession models ( LANDSUM and FIRESCAPE) to demonstrate differences between model predictions and limitations of each on a neutral landscape. FIRESCAPE was developed for simulating fire regimes in eucalypt forests of south eastern Australia. Finally challenges for future simulation and fire regime research are presented including field data scale fire regime variability map obsolescence and classification resolution. 
1209:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Dynamic energy budget (DEB) models describe how individuals acquire and utilize energy and can serve as a link between different levels of biological organization. We describe the formulation and testing of DEB models and show how the dynamics of individual organisms link to molecular processes to population dynamics and (more tenuously) to ecosystem dynamics. DEB models offer mechanistic explanations of body size scaling relationships. DEB models constitute powerful tools for applications in toxicology and biotechnology. Challenging questions arise when linking DEB models with evolutionary theory. 
1228:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Species distribution modelling is used increasingly in both applied and theoretical research to predict how species are distributed and to understand attributes of species environmental requirements. In species distribution modelling various statistical methods are used that combine species occurrence data with environmental spatial data layers to predict the suitability of any site for that species. While the number of data sharing initiatives involving species occurrences in the scientific community has increased dramatically over the past few years various data quality and methodological concerns related to using these data for species distribution modelling have not been addressed adequately. We evaluated how uncertainty in georeferences and associated locational error in occurrences influence species distribution modelling using two treatments: (1) a control treatment where models were calibrated with original accurate data and (2) an error treatment where data were first degraded spatially to simulate locational error. To incorporate error into the coordinates we moved each coordinate with a random number drawn from the normal distribution with a mean of zero and a standard deviation of 5 km. We evaluated the influence of error on the performance of 10 commonly used distributional modelling techniques applied to 40 species in four distinct geographical regions. Locational error in occurrences reduced model performance in three of these regions; relatively accurate predictions of species distributions were possible for most species even with degraded occurrences. Two species distribution modelling techniques boosted regression trees and maximum entropy were the best performing models in the face of locational errors. The results obtained with boosted regression trees were only slightly degraded by errors in location and the results obtained with the maximum entropy approach were not affected by such errors. To use the vast array of occurrence data that exists currently for research and management relating to the geographical ranges of species modellers need to know the influence of locational error on model quality and whether some modelling techniques are particularly robust to error. We show that certain modelling techniques are particularly robust to a moderate level of locational error and that useful predictions of species distributions can be made even when occurrence data include some error. 
1230:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, The ecological niche is a fundamental biological concept. Modelling species niches is central to numerous ecological applications including predicting species invasions identifying reservoirs for disease nature reserve design and forecasting the effects of anthropogenic and natural climate change on species ranges. A computational analogue of Hutchinsons ecological niche concept (the multidimensional hyperspace of species environmental requirements) is the support of the distribution of environments in which the species persist. Recently developed machine learning algorithms can estimate the support of such high dimensional distributions. We show how support vector machines can be used to map ecological niches using only observations of species presence to train distribution models for 106 species of woody plants and trees in a montane environment using up to nine environmental covariates. We compared the accuracy of three methods that differ in their approaches to reducing model complexity. We tested models with independent observations of both species presence and species absence. We found that the simplest procedure which uses all available variables and no pre processing to reduce correlation was best overall. Ecological niche models based on support vector machines are theoretically superior to models that rely on simulating pseudo absence data and are comparable in empirical tests. Accurate species distribution models are crucial for effective environmental planning management and conservation and for unravelling the role of the environment in human health and welfare. Models based on distribution estimation rather than classification overcome theoretical and practical obstacles that pervade species distribution modelling. In particular ecological niche models based on machine learning algorithms for estimating the support of a statistical distribution provide a promising new approach to identifying species potential distributions and to project changes in these distributions as a result of climate change land use and landscape alteration. 
1232:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Understanding spatial structure and identifying subpopulations are critical for estimating population growth rates and extinction risk and as such essential for effective conservation planning. However movement and spatiotemporal environmental data are often unavailable limiting our ability to directly define subpopulations and their level of asynchrony. This study applies a recently developed statistical technique using time series analysis of abundance data to identify subpopulations. The approach uses multivariate state space models and Akaikes Information Criterion based model selection to quantify the data support for different subpopulation numbers and configurations. This technique is applied to the population of California sea lions Zalophus californianus in the Gulf of California Mexico distributed across 13 breeding sites. The abundance of California sea lions in the Gulf of California has declined over the last decade though not all areas have been equally affected. In light of this variation it is important to understand the population structure to ensure accurate viability assessments and effective management. Our data support the hypothesis that the Gulf of California sea lion population has four subpopulations each with 2 5 breeding sites. The dynamics between several adjacent subpopulations were correlated suggesting that they experience similar environmental variation. For each subpopulation we estimated long term growth rates as well as the environmental and observation variation. For most of the subpopulations our estimates of growth rates were considerably lower than those previously reported. In addition we found considerable variability across subpopulations in their projected risk of severe decline over the next 50 years. We illustrate a new multivariate state space modelling technique that uses time series of abundance to quantify the data support for different subpopulation configurations. Our analysis of the California sea lion population in the Gulf of California indicates that the population is spatially structured into four subpopulations each exhibiting distinct risks of extinction. Based on our results we recommend that conservation and management efforts in the Gulf of California focus on the two subpopulations with high probabilities of extinction within the next 50 years (Northern Midriff Southern Midriff). Multivariate state space models provide a practical approach to determine the spatial structure of virtually any species; they may be particularly useful for species of conservation concern for which data on dispersal and environmental drivers are likely to be scarce. 
126:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Minimum convex polygons (convex hulls) are an internationally accepted standard method for estimating species ranges particularly in circumstances in which presence only data are the only kind of spatially explicit data available. One of their main strengths is their simplicity. They are used to make area statements and to assess trends in occupied habitat and are an important part of the assessment of the conservation status of species. We show by simulation that these estimates are biased. The bias increases with sample size and is affected by the underlying shape of the species habitat the magnitude of errors in locations and the spatial and temporal distribution of sampling effort. The errors affect both area statements and estimates of trends. Some of these errors may be reduced through the application of alpha hulls which are generalizations of convex hulls but they cannot be eliminated entirely. alpha hulls provide an explicit means for excluding discontinuities within a species range. Strengths and weaknesses of alternatives including kernel estimators were examined. Convex hulls exhibit larger bias than a hulls when used to quantify habitat extent and to detect changes in range and when subject to differences in the spatial and temporal distribution of sampling effort and spatial accuracy. a hulls should be preferred for estimating the extent of and trends in species ranges. 
128:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Synthetic products based on biodiversity information such as gap analysis depend critically on accurate models of species geographic distributions that simultaneously minimize error in both overprediction and omission. We compared current gap methodologies as exemplified by the distributional models used in the Maine Gap Analysis project with an alternative approach the geographic projections of ecological niche models developed using the Genetic Algorithm for Rule Set Prediction (GARP). Point occurrence data were used to develop GARP models based on the same environmental data layers as were used in the gap project and independent occurrence data used to test both methods. Gap models performed better in avoiding omission error but GARP better avoided errors of overprediction. Advantages of the point based approach and strategies for its incorporation into current gap efforts are discussed. 
129:20140529ProjectCategorizations_ValuesOnly,
129:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, We present a case study of the use of simulation modelling to develop and test strategies for managing populations under uncertainty. Strategies that meet a stock conservation criterion under a base case scenario are subjected to a set of robustness trials including biased and highly variable abundance estimates and poaching. Strategy performance is assessed with respect to a conservation criterion the revenues achieved and their variability. Strategies that harvest heavily even when the population is apparently very large perform badly in the robustness trials. Setting a threshold below which harvesting does not take place and above which all individuals are harvested does not provide effective protection against over harvesting. Strategies that rely on population growth rates rather than estimates of population size are more robust to biased estimates. The strategies that are most robust to uncertainty are simple involving harvesting a relatively small proportion of the population each year. The simulation modelling approach to exploring harvesting strategies is suggested as a useful tool for the assessment of the performance of competing strategies under uncertainty. 
12:20140529ProjectCategorizations_ValuesOnly,
12:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529,Species distribution prediction modeling plays a key role in biodiversity research. We propose to publish both species distribution data and modeling components as Web services and composite them into modeling systems using the scientific workflow approach. We build a prototype system using Kepler scientific workflow system and demonstrate the feasibility of the proposed approach. This study is the first step towards building a virtual e science laboratory for ecologists to perform distributed and cooperative research on species distribution predictions.
1302:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, I present a conceptualization that attempts to unify diverse representations of natural knowledge while providing a workable computational framework based on current semantic web theory for developing communicating and running integrated simulation models. The approach is based on a long standing principle of scientific investigation: the separation of the ontological character of the object of study from the semantics of the observation context the latter including location in space and time and other observation related aspects. I will show how current Knowledge Representation theories coupled with the object oriented paradigm allow an efficient integration through the abstract model of a domain which relates to the idea of aspect in software engineering. This conceptualization allows us to factor out two fundamental causes of complexity and awkwardness in the representation of knowledge about natural system: (a) the distinction between data and models both seen here as generic knowledge sources; (b) the multiplicity of states in data sources handled through the hierarchical composition of independently defined domain objects each accounting for all states in one well known observational dimension. This simplification leaves modelers free to work with the bare conceptual bones of the problem encapsulating complexities connected to data format and scale. I will then describe the design of a software system that implements the approach referring to explicit ontologies to unambiguously characterize the semantics of the objects of study and allowing the independent definition of a global observation context that can be redefined as required. I will briefly discuss applications to multi scale multi paradigm modeling intelligent database design and web based collaboration. 
1303:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, The Science Environment for Ecological Knowledge (SEEK) is a knowledge environment that is being developed to address many of the current challenges associated with data accessibility and integration in the biodiversity and ecological sciences. The SEEK information technology infrastructure encompasses three integrated systems: (1) EcoGrid an open architecture for data access; (2) a Semantic Mediation System based on domain specific ontologies; and (3) an Analysis and Modeling System that supports semantically integrated analytical workflows. Multidisciplinary scientists and programmers from multiple institutions comprise the core development team. SEEK design and development are informed by three multidisciplinary teams of scientists organized in Working Groups. The Biodiversity and Ecological Analysis and Modeling Working Group informs development through evaluation of SEEK efficacy in addressing biodiversity and ecological questions. The Knowledge Representation Working Group provides knowledge representation requirements from the domain sciences and develops the corresponding knowledge representations (ontologies) to support the assembly of analytical workflows in the Analysis and Modeling System and the intelligent data and service discovery in the EcoGrid. A Biological Classification and Nomenclature Working Group investigates solutions to mediating among multiple taxonomies for naming organisms. A multifaceted education outreach and training program ensures that the SEEK research products software and information technology infrastructure optimally benefit the target communities. 
131:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, The purpose of time series analysis via mechanistic models is to reconcile the known or hypothesized structure of a dynamical system with observations collected over time. We develop a framework for Constructing nonlinear mechanistic models and carrying Out inference. Our framework permits the consideration of implicit dynamic models meaning statistical models for stochastic dynamical systems which are specified by a simulation algorithm to generate sample paths. Inference procedures that operate on implicit models are said to have the plug and play property. Our work builds on recently developed plug and play inference methodology for partially observed Markov models. We introduce a class of implicitly specified Markov chains with stochastic transition rates and we demonstrate its applicability to open problems in statistical inference for biological systems. As one example these models are shown to give if fresh perspective on measles transmission dynamics. As a second example we present a mechanistic analysis of cholera incidence data involving interaction between two competing strains of the pathogen Vibrio cholerae. 
1325:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, R users can often solve optimization tasks easily using the tools in the optim function in the stats package provided by default on R installations. However there are many other optimization and nonlinear modelling tools in R or in easily installed add on packages. These present users with a bewildering array of choices. optimx is a wrapper to consolidate many of these choices for the optimization of functions that are mostly smooth with parameters at most bounds constrained. We attempt to provide some diagnostic information about the function its scaling and parameter bounds and the solution characteristics. optimx runs a battery of methods on a given problem thus facilitating comparative studies of optimization algorithms for the problem at hand. optimx can also be a useful pedagogical tool for demonstrating the strengths and pitfalls of different classes of optimization approaches including Newton gradient and derivative free methods. 
1326:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Text classifiers automatically classify documents into appropriate concepts for different applications. Most classification approaches use flat classifiers that treat each concept as independent even when the concept space is hierarchically structured. In contrast hierarchical text classification exploits the structural relationships between the concepts. In this article we explore the effectiveness of hierarchical classification for a large concept hierarchy. Since the quality of the classification is dependent on the quality and quantity of the training data we evaluate the use of documents selected from subconcepts to address the sparseness of training data for the top level classifiers and the use of document relationships to identify the most representative training documents. By selecting training documents using structural and similarity relationships we achieve a statistically significant improvement of 39.8 PeRcEnT (from 54.5 76.2 PeRcEnT) in the accuracy of the hierarchical classifier over that of the flat classifier for a large three level concept hierarchy. 
1327:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Maximum likelihood estimation and likelihood ratio tests for nonlinear. non Gaussian state space models require numerical integration for likelihood calculations. Several methods including Monte Carlo (MC) expectation maximization MC likelihood ratios direct MC integration. and particle filter likelihoods. are inefficient for the motivating problem of stage structured population dynamics models in experimental settings. An MC kernel likelihood (MCKL) method is presented that estimates classical likelihoods up to a constant by weighted kernel density estimates of Bayesian posteriors. MCKL is derived by using Bayesian posteriors as importance sampling densities for unnormalized kernel smoothing integrals. MC error and mode bias due to kernel smoothing are discussed and two methods for reducing mode bias are proposed:   zooming in   on the maximum likelihood parameters using a focused prior based on an initial estimate and using a posterior cumulant based approximation of mode bias. A simulated example shows that MCKL can be much more efficient than previous approaches for the population dynamics problem. The zooming in and cumulant based corrections are illustrated with a multivariate variance estimation problem for which accurate results are obtained even in 20 parameter dimensions. 
1329:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Using a Geographic Information System (GIS) a method is presented to develop a spatially explicit time series of land use in an urbanizing watershed. The method is prefaced on the existence of independent observations of land use at different times and data that describes the spatial temporal land use transition characteristics of the watershed between these two points in time. A method is then presented to generalize the TR 55 graphical method a common lumped hydrologic model for estimating peak discharge for use in a spatially explicit scheme. This scheme predicts peak discharge throughout a watershed rather than at a single selected watershed outlet. Coupling these two methods allows the engineer to model both the temporal and spatial evolution of peak discharge for the watershed. An illustrative watershed in a suburban area of Washington DC is selected to demonstrate the methods. The model results from these analyses are presented graphically to highlight the complex features in peak discharge behavior that exist both spatially as a function of position within the watershed drainage network and temporally as the watershed undergoes urbanization. These features are not commonly noted in most hydrologic analyses but are captured in these analyses because of the high spatial and temporal resolution of the methods presented. The physical implications of the modeled results are discussed in the context of the information content of a stream gauge located at the overall outlet of the illustrative watershed. This work shows that the common practice of transposition of gauge information to locations internal to the watershed would neglect internal variability in peak discharge behavior and could potentially lead to the determination of inappropriate design discharges. 
1334:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Estimating the burden of infectious disease is complicated by the general tendency for underreporting of cases. When the reporting rate is unknown conventional methods have relied on accounting methods that do not make explicit use of surveillance data or the temporal dynamics of transmission and infection. State space models are a framework for various methods that allow dynamic models to be fitted with partially or imperfectly observed surveillance data. State space models are an appealing approach to burden estimation as they combine expert knowledge in the form of an underlying dynamic model but make explicit use of surveillance data to estimate parameter values to predict unobserved elements of the model and to provide standard errors for estimates. 
1338:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Few food web theory hypotheses predictions can be readily tested using likelihoods of reproducing the data. Simple probabilistic models for food web structure however are an exception as their likelihoods were recently derived. Here I test the performance of a more complex model for food web structure that is grounded in the allometric scaling of interactions with body size and the theory of optimal foraging (Allometric Diet Breadth Model ADBM). This deterministic model has been evaluated by measuring the fraction of trophic relations it correctly predicts. I contrasted this value with that produced by simpler models based on body sizes and found that the quantitative information on allometric scaling and optimal foraging does not significantly increase model fit. Also I present a method to compute the p value for the fraction of trophic interactions correctly predicted by the ADBM or any other model with respect to three probabilistic models. I find that the ADBM predicts significantly more links than random graphs but other models can outperform it. Although optimal foraging and allometric scaling may improve our understanding of food webs the ADBM needs to be modified or replaced to find support in the data. . 
